obszar,wymaganie,implementacja_w_projekcie,luka
AI Act art. 9,Ciągły system zarządzania ryzykiem dla systemu wysokiego ryzyka.,"Rejestr scenariuszy, ocena ryzyka bazowego i resztkowego, porównanie środków redukcji.","W projekcie to prototyp analityczny, nie pełny proces lifecycle z właścicielami ryzyk, przeglądami i akceptacją ryzyk."
AI Act art. 10,"Jakość danych, reprezentatywność i kontrola błędów danych.","Jawne parametry scenariuszy: środowisko, okluzja, prędkość, ładunek, niepewność i nowość sytuacji.","Brak logów z realnego manipulatora, brak danych o awariach sensorów i brak walidacji na rozkładzie z hali produkcyjnej."
AI Act art. 11,Dokumentacja techniczna umożliwiająca ocenę zgodności.,"README, wygenerowany raport, CSV z wynikami i opis założeń modelu.","Brak pełnej dokumentacji producenta, wersjonowania modelu, specyfikacji HMI i formalnego opisu granic systemu."
AI Act art. 12,Rejestrowanie zdarzeń i możliwość śledzenia działania systemu.,"Wyniki per scenariusz zapisane do CSV, w tym decyzja o interwencji i ryzyko resztkowe.","Brak strumienia logów z robota, czujników, planera trajektorii i decyzji operatora w czasie rzeczywistym."
AI Act art. 13,Przejrzystość i instrukcje dla wdrażającego.,"Opis progów, trybów nadzoru i interpretacji wyników w README oraz raporcie.","Trzeba dodać instrukcję stanowiskową dla operatora, opis ograniczeń modelu i procedury eskalacji."
AI Act art. 14,"Skuteczny nadzór człowieka, możliwość monitorowania, interpretacji i przerwania działania.","Porównanie monitorowania, weta, zatwierdzania i adaptacyjnego HITL oraz analiza przeciążenia operatora.","Projekt nie waliduje ergonomii HMI, czasu reakcji realnego operatora ani jakości poprawek trajektorii."
AI Act art. 15,"Dokładność, odporność i cyberbezpieczeństwo.","Niepewność AI i okluzja zwiększają ryzyko, co uruchamia interwencję.","Brak testów cyberbezpieczeństwa, odporności na spoofing sensorów i awarii sieci."
AI Act role operatorów,"Rozróżnienie obowiązków dostawcy, producenta produktu i wdrażającego system AI.","Wnioski rozdzielają odpowiedzialność: projektant planera, integrator maszyny, organizacja wdrażająca i przeszkolony operator.",Brak kontraktowej alokacji obowiązków i brak formalnej procedury przekazania systemu do użytkowania.
Rozporządzenie maszynowe 2023/1230,"Ocena ryzyka i redukcja ryzyka dla maszyn, w tym autonomii i funkcji bezpieczeństwa.","Wniosek: HITL jest środkiem organizacyjno-technicznym, ale nie zastępuje osłon, stref, ograniczeń prędkości i awaryjnego zatrzymania.","Do wdrożenia potrzebna byłaby analiza zgodności CE, ocena ryzyka maszyny i dokumentacja techniczna producenta."
ISO/TS 15066 i normy robotyczne,"Dla pracy blisko ludzi trzeba analizować ograniczenia kontaktu, prędkości, siły, separacji i organizacji stanowiska.","Scenariusze z większą gęstością ludzi i okluzją pokazują, kiedy nadzór człowieka musi być silniejszy.","Brak pomiarów sił, dystansów, czasów zatrzymania i pełnej walidacji stanowiska."
